Date,lat,long
07,49.182,-2.098
07,49.182,-2.098
07,49.189,-2.118
07,49.168,-2.079
07,49.195,-2.131
07,49.192,-2.124
07,49.196,-2.157
07,49.196,-2.157
07,49.186,-2.115
07,49.167,-2.079
07,49.167,-2.079
07,49.167,-2.079
07,49.218,-2.076
07,49.184,-2.108
07,49.184,-2.108
07,49.184,-2.108
07,49.168,-2.080
07,49.167,-2.079
07,49.169,-2.029
07,49.183,-2.110
07,49.183,-2.110
07,49.184,-2.182
07,49.184,-2.182
07,49.167,-2.082
07,49.175,-2.045
07,49.176,-2.092
07,49.209,-2.063
07,49.209,-2.063
07,49.210,-2.061
07,49.183,-2.179
